,Timestamp,Presion descanso PV,Presion descanso LL,Presion descanso HL,Potencia PV,Potencia HL,Potencia DSHL,Corriente PV,Corriente HL,Corriente DSHL,Tonelaje HL,Tonelaje SP,Tonelaje PV,Velocidad HL,Velocidad SP,Velocidad PV,% Solidos HL,% Solidos LL,% Solidos SP,% Solidos PV,% Gruesos,% Intermedios,% Finos,Controller Mode,Status Feeder 1,Status Feeder 2,Status Feeder 3,Status Feeder 4,Status Feeder 5,Status Feeder 6,Tonelaje OP
2222,2023-01-31 09:15:30,5195.6923828125,5250,5400,0,12000,11800,183.10211181640625,2130,2110,2910,20.32537269592285,21.11935043334961,9.800000190734863,1.0,0.0,69,68,68.00981140136719,99.36800384521484,92.47388458251953,3.723449468612671,3.8026678562164307,0,0,0,0,0,0,0,0.0
2223,2023-01-31 09:15:45,5259.11083984375,5250,5400,0,12000,11800,118.85214233398438,2130,2110,2910,11.065862655639648,11.489885330200195,9.800000190734863,1.0,0.0,69,68,68.00981140136719,97.81561279296875,80.23181915283203,9.067350387573242,10.700828552246094,0,0,0,0,0,0,0,0.0
2224,2023-01-31 09:16:00,5301.07177734375,5250,5400,0,12000,11800,94.34835052490234,2130,2110,2910,7.092184066772461,7.356128692626953,9.800000190734863,1.0,0.0,69,68,68.00981140136719,97.91043090820312,91.61456298828125,2.791140556335449,5.594296455383301,0,0,0,0,0,0,0,0.0
2225,2023-01-31 09:16:15,5344.0322265625,5250,5400,0,12000,11800,83.33521270751953,2130,2110,2910,3.8960633277893066,3.8960633277893066,9.800000190734863,1.0,0.0,69,68,68.00981140136719,97.44144439697266,86.45154571533203,6.978152275085449,6.5703020095825195,0,0,0,0,0,0,0,0.0
2226,2023-01-31 09:16:30,5373.169921875,5250,5400,0,12000,11800,80.35079956054688,2130,2110,2910,2.3445510864257812,2.3445510864257812,9.800000190734863,1.0,0.0,69,68,68.00981140136719,96.67765808105469,80.02091979980469,7.7833051681518555,12.195778846740723,0,0,0,0,0,0,0,0.0
2227,2023-01-31 09:16:45,5392.9208984375,5250,5400,0,12000,11800,79.49530029296875,2130,2110,2910,1.527290940284729,1.527290940284729,9.800000190734863,1.0,0.0,69,68,68.00981140136719,95.69380950927734,67.74351501464844,15.488420486450195,16.7680606842041,0,0,0,0,0,0,0,0.0
2228,2023-01-31 09:17:00,5399.29638671875,5250,5400,0,12000,11800,79.29125213623047,2130,2110,2910,1.1815208196640015,1.1815208196640015,9.800000190734863,1.0,0.0,69,68,68.00981140136719,96.24267578125,77.65035247802734,10.680867195129395,11.668780326843262,0,0,0,0,0,0,0,0.0
2229,2023-01-31 09:17:15,5408.04736328125,5250,5400,0,12000,11800,79.19190979003906,2130,2110,2910,0.9166922569274902,0.9166922569274902,9.800000190734863,1.0,0.0,69,68,68.00981140136719,96.97222900390625,54.10487365722656,19.881555557250977,26.01357078552246,0,0,0,0,0,0,0,0.0
2230,2023-01-31 09:17:30,5413.26171875,5250,5400,0,12000,11800,79.17554473876953,2130,2110,2910,0.7746460437774658,0.7804427146911621,9.800000190734863,1.0,0.0,69,68,68.00981140136719,97.9972152709961,55.621116638183594,8.904712677001953,35.47417068481445,0,0,0,0,0,0,0,0.0
2231,2023-01-31 09:17:45,5412.85693359375,5250,5400,0,12000,11800,57.02394485473633,2130,2110,2910,0.707483172416687,0.710626482963562,9.800000190734863,1.0,0.0,69,68,68.00981140136719,97.5986328125,59.95323944091797,15.267816543579102,24.77894401550293,0,0,0,0,0,0,0,0.0
2232,2023-01-31 09:18:00,5372.62841796875,5250,5400,180,12000,11800,99.57849884033203,2130,2110,2910,0.6780668497085571,0.6799681782722473,9.800000190734863,1.0,0.550000011920929,69,68,68.00981140136719,98.0087661743164,92.67670440673828,3.8915116786956787,3.431781053543091,0,0,0,0,0,0,0,0.0
2233,2023-01-31 09:18:15,5304.0908203125,5250,5400,460,12000,11800,764.286376953125,2130,2110,2910,0.6556833386421204,0.6566303968429565,9.800000190734863,1.0,0.6600000262260437,69,68,68.00981140136719,99.05326843261719,79.0445327758789,9.724470138549805,11.230995178222656,0,0,0,0,0,0,0,0.0
2234,2023-01-31 09:18:30,5243.98193359375,5250,5400,740,12000,11800,1022.86083984375,2130,2110,2910,0.6433901786804199,0.6433901786804199,9.800000190734863,1.0,1.0099999904632568,69,68,68.00981140136719,97.05107116699219,51.12171936035156,22.02701187133789,26.851268768310547,0,0,0,0,0,0,0,0.0
